Term: 	 DF 	 [DOCID, TF, Max_TF, DocLen] 
desir:	27	[[8, 1, 6, 118], [17, 1, 5, 105], [44, 1, 7, 195], [82, 2, 11, 226], [100, 1, 7, 167], [220, 1, 5, 113], [244, 1, 19, 326], [274, 1, 6, 175], [344, 1, 11, 284], [426, 1, 6, 111], [441, 1, 7, 192], [457, 1, 5, 99], [576, 1, 13, 324], [581, 1, 4, 66], [588, 1, 14, 224], [659, 1, 6, 95], [679, 1, 5, 131], [712, 1, 10, 223], [738, 1, 7, 98], [792, 2, 7, 304], [876, 2, 9, 125], [893, 1, 5, 80], [907, 1, 6, 152], [1147, 2, 13, 304], [1224, 1, 5, 174], [1313, 1, 24, 459], [1377, 1, 3, 77]]
desk:	1	[[92, 1, 6, 152]]
despit:	2	[[645, 1, 4, 110], [819, 1, 4, 77]]
destabil:	8	[[201, 1, 5, 137], [344, 1, 11, 284], [417, 1, 9, 310], [634, 1, 4, 107], [685, 1, 10, 234], [1001, 1, 5, 98], [1242, 1, 10, 162], [1352, 1, 11, 164]]
destal:	2	[[1, 3, 5, 99], [484, 2, 9, 199]]
detach:	27	[[35, 2, 3, 108], [37, 1, 4, 125], [58, 1, 6, 133], [93, 1, 3, 70], [161, 1, 2, 49], [193, 1, 15, 298], [211, 1, 9, 144], [329, 1, 17, 434], [369, 1, 7, 165], [411, 2, 5, 69], [439, 1, 8, 130], [482, 2, 3, 47], [483, 3, 3, 36], [501, 2, 2, 46], [523, 3, 7, 108], [533, 1, 1, 34], [572, 1, 7, 302], [1151, 2, 3, 97], [1157, 3, 8, 146], [1204, 1, 6, 224], [1258, 1, 5, 142], [1274, 4, 9, 183], [1300, 2, 9, 204], [1319, 4, 9, 186], [1377, 1, 3, 77], [1389, 2, 5, 91], [1390, 3, 4, 117]]
detail:	105	[[13, 1, 5, 99], [25, 2, 8, 280], [30, 1, 4, 88], [49, 1, 12, 271], [50, 1, 5, 110], [55, 1, 5, 100], [67, 1, 3, 57], [73, 1, 5, 219], [83, 1, 8, 213], [85, 1, 12, 199], [89, 2, 9, 274], [93, 1, 3, 70], [118, 1, 8, 114], [141, 1, 3, 75], [149, 1, 10, 190], [156, 1, 10, 181], [177, 1, 11, 171], [183, 1, 5, 104], [202, 2, 13, 207], [207, 1, 6, 134], [222, 2, 8, 141], [231, 2, 4, 75], [244, 1, 19, 326], [246, 1, 9, 95], [252, 1, 8, 188], [265, 1, 3, 64], [288, 1, 6, 135], [289, 1, 9, 166], [293, 1, 6, 107], [317, 1, 6, 151], [319, 1, 4, 83], [325, 1, 5, 163], [329, 1, 17, 434], [338, 1, 6, 121], [350, 1, 6, 60], [354, 1, 5, 95], [358, 1, 6, 68], [416, 1, 5, 189], [417, 2, 9, 310], [419, 1, 6, 97], [425, 1, 5, 82], [466, 1, 6, 149], [474, 1, 6, 110], [489, 1, 3, 98], [508, 1, 5, 103], [534, 1, 3, 63], [541, 1, 6, 141], [544, 1, 3, 69], [602, 2, 4, 90], [609, 1, 2, 56], [672, 1, 3, 63], [675, 1, 7, 203], [677, 1, 7, 199], [690, 1, 4, 82], [704, 1, 7, 231], [719, 1, 5, 124], [722, 2, 4, 121], [739, 2, 10, 228], [768, 1, 5, 60], [772, 1, 3, 82], [777, 1, 6, 111], [792, 1, 7, 304], [794, 2, 8, 225], [796, 1, 6, 134], [798, 1, 15, 432], [808, 1, 5, 132], [836, 1, 5, 100], [840, 1, 5, 67], [855, 1, 2, 53], [863, 1, 3, 73], [867, 1, 4, 98], [878, 1, 6, 57], [883, 1, 4, 82], [945, 1, 4, 75], [967, 1, 4, 96], [993, 1, 10, 166], [1002, 2, 5, 134], [1071, 1, 5, 76], [1072, 1, 8, 264], [1090, 1, 3, 58], [1108, 1, 8, 181], [1132, 1, 2, 72], [1151, 1, 3, 97], [1154, 1, 10, 179], [1171, 1, 4, 57], [1181, 1, 6, 96], [1185, 1, 5, 110], [1190, 1, 3, 86], [1194, 1, 5, 112], [1202, 2, 7, 217], [1224, 1, 5, 174], [1232, 3, 5, 78], [1241, 1, 5, 115], [1245, 1, 9, 112], [1269, 1, 3, 58], [1309, 1, 5, 163], [1310, 1, 6, 197], [1312, 1, 6, 78], [1333, 1, 6, 171], [1362, 1, 4, 106], [1374, 1, 6, 96], [1378, 1, 4, 89], [1383, 2, 8, 151], [1385, 1, 5, 115], [1389, 1, 5, 91]]
detect:	8	[[9, 1, 9, 244], [83, 1, 8, 213], [113, 2, 5, 90], [272, 1, 19, 345], [346, 1, 5, 132], [536, 1, 8, 215], [1205, 1, 7, 157], [1257, 1, 4, 108]]
deterior:	5	[[576, 1, 13, 324], [588, 1, 14, 224], [589, 1, 13, 163], [827, 1, 12, 230], [1075, 1, 10, 156]]
determin:	299	[[1, 1, 5, 99], [14, 1, 8, 271], [29, 2, 8, 165], [37, 2, 4, 125], [39, 2, 8, 111], [40, 1, 5, 138], [51, 3, 12, 141], [54, 2, 5, 152], [56, 3, 6, 152], [57, 1, 6, 125], [60, 2, 5, 104], [72, 3, 10, 188], [73, 1, 5, 219], [78, 1, 6, 142], [79, 1, 8, 121], [80, 2, 13, 220], [84, 1, 7, 129], [85, 1, 12, 199], [88, 2, 4, 99], [90, 1, 4, 77], [91, 1, 5, 122], [92, 1, 6, 152], [95, 1, 5, 81], [97, 1, 13, 172], [105, 1, 4, 109], [108, 1, 5, 70], [112, 1, 6, 104], [116, 1, 5, 110], [122, 1, 8, 170], [123, 1, 7, 178], [131, 1, 9, 229], [132, 1, 12, 226], [135, 1, 6, 132], [140, 3, 10, 250], [149, 1, 10, 190], [154, 1, 3, 65], [155, 3, 8, 164], [158, 2, 10, 105], [164, 1, 8, 215], [165, 1, 12, 296], [171, 2, 6, 119], [174, 1, 13, 210], [177, 1, 11, 171], [183, 1, 5, 104], [193, 2, 15, 298], [196, 3, 5, 121], [197, 2, 12, 206], [198, 2, 13, 208], [202, 1, 13, 207], [225, 2, 15, 264], [227, 1, 6, 114], [229, 1, 10, 156], [236, 2, 6, 116], [238, 1, 3, 37], [244, 1, 19, 326], [248, 1, 3, 88], [249, 2, 5, 101], [268, 1, 5, 93], [277, 2, 10, 176], [287, 3, 5, 100], [288, 1, 6, 135], [301, 1, 4, 52], [314, 2, 7, 134], [322, 1, 2, 47], [325, 1, 5, 163], [351, 1, 3, 97], [354, 1, 5, 95], [357, 1, 8, 128], [362, 1, 2, 65], [363, 4, 7, 178], [370, 2, 4, 139], [372, 1, 3, 78], [375, 1, 8, 162], [379, 1, 8, 101], [387, 1, 3, 51], [391, 1, 6, 98], [408, 1, 3, 50], [410, 1, 4, 110], [416, 1, 5, 189], [417, 1, 9, 310], [423, 2, 10, 228], [424, 1, 4, 66], [433, 2, 19, 289], [434, 2, 7, 168], [439, 1, 8, 130], [440, 1, 5, 78], [452, 2, 7, 214], [455, 1, 6, 147], [456, 1, 6, 185], [459, 2, 7, 187], [460, 1, 4, 80], [463, 1, 3, 79], [466, 1, 6, 149], [467, 1, 5, 143], [473, 1, 5, 79], [485, 1, 2, 32], [497, 1, 4, 115], [501, 1, 2, 46], [503, 1, 7, 80], [504, 2, 10, 143], [511, 1, 8, 110], [517, 1, 5, 66], [521, 1, 4, 107], [523, 2, 7, 108], [526, 1, 6, 90], [529, 1, 8, 198], [542, 1, 9, 147], [554, 1, 7, 116], [561, 2, 7, 157], [564, 1, 10, 195], [571, 2, 8, 166], [581, 2, 4, 66], [582, 1, 4, 68], [584, 2, 5, 93], [585, 1, 4, 81], [596, 1, 4, 74], [599, 1, 10, 170], [601, 1, 6, 163], [602, 1, 4, 90], [616, 1, 4, 96], [617, 1, 4, 71], [622, 2, 8, 168], [624, 3, 6, 169], [626, 1, 8, 129], [638, 1, 8, 166], [643, 1, 5, 98], [655, 1, 3, 76], [657, 1, 6, 84], [660, 1, 14, 195], [661, 1, 8, 149], [662, 1, 9, 251], [666, 2, 4, 111], [669, 1, 4, 69], [673, 1, 27, 276], [691, 1, 4, 85], [692, 1, 8, 151], [693, 1, 7, 134], [696, 1, 11, 216], [697, 1, 11, 131], [701, 3, 12, 188], [702, 5, 7, 119], [704, 2, 7, 231], [710, 2, 18, 193], [712, 1, 10, 223], [713, 1, 4, 122], [717, 1, 10, 256], [721, 1, 15, 373], [722, 1, 4, 121], [725, 2, 3, 86], [728, 1, 3, 48], [731, 1, 10, 173], [734, 1, 7, 142], [742, 1, 6, 81], [760, 1, 6, 123], [764, 2, 8, 117], [766, 1, 13, 182], [767, 3, 7, 179], [772, 1, 3, 82], [775, 1, 8, 63], [777, 1, 6, 111], [780, 2, 5, 86], [786, 3, 9, 153], [792, 1, 7, 304], [794, 2, 8, 225], [801, 1, 7, 150], [803, 1, 7, 89], [804, 1, 6, 120], [813, 1, 6, 97], [815, 2, 7, 191], [816, 1, 7, 126], [822, 1, 5, 154], [823, 1, 4, 79], [827, 3, 12, 230], [839, 2, 7, 120], [843, 1, 4, 116], [851, 1, 5, 89], [856, 1, 15, 184], [857, 1, 14, 162], [860, 1, 4, 82], [861, 1, 5, 88], [874, 1, 14, 202], [885, 1, 6, 65], [888, 1, 6, 79], [889, 2, 7, 187], [897, 1, 4, 74], [904, 1, 8, 128], [905, 1, 5, 70], [910, 1, 2, 41], [911, 1, 4, 84], [913, 1, 5, 88], [927, 4, 12, 290], [932, 1, 4, 58], [933, 1, 6, 192], [934, 2, 6, 145], [947, 1, 11, 229], [952, 1, 3, 84], [962, 1, 9, 283], [965, 1, 5, 60], [967, 1, 4, 96], [971, 1, 8, 122], [973, 1, 5, 85], [974, 2, 9, 141], [980, 2, 9, 141], [984, 1, 7, 93], [985, 1, 4, 112], [989, 1, 8, 155], [990, 2, 8, 128], [992, 1, 14, 231], [993, 1, 10, 166], [994, 2, 8, 132], [996, 2, 12, 211], [999, 1, 15, 171], [1003, 1, 5, 111], [1005, 1, 3, 84], [1009, 1, 6, 117], [1015, 1, 7, 97], [1020, 1, 4, 88], [1024, 1, 7, 128], [1032, 2, 6, 79], [1038, 1, 3, 61], [1039, 1, 9, 194], [1043, 1, 5, 120], [1047, 1, 11, 260], [1053, 1, 5, 117], [1064, 1, 7, 143], [1065, 1, 4, 110], [1066, 4, 11, 255], [1068, 1, 5, 101], [1076, 2, 3, 71], [1092, 2, 10, 202], [1103, 1, 4, 70], [1105, 1, 4, 79], [1116, 1, 4, 55], [1117, 1, 3, 98], [1128, 1, 7, 87], [1129, 1, 6, 88], [1133, 2, 4, 62], [1134, 1, 8, 191], [1144, 1, 9, 215], [1147, 1, 13, 304], [1150, 1, 3, 74], [1151, 1, 3, 97], [1155, 1, 4, 89], [1159, 1, 6, 96], [1162, 1, 5, 109], [1163, 2, 5, 134], [1164, 1, 7, 184], [1166, 1, 11, 161], [1179, 2, 6, 156], [1196, 1, 5, 80], [1198, 1, 6, 185], [1212, 1, 9, 174], [1216, 1, 6, 135], [1218, 1, 6, 202], [1219, 2, 6, 102], [1224, 2, 5, 174], [1225, 1, 11, 223], [1227, 1, 4, 61], [1235, 1, 8, 202], [1239, 1, 19, 289], [1247, 1, 8, 111], [1251, 1, 9, 135], [1254, 1, 3, 87], [1255, 1, 5, 113], [1257, 1, 4, 108], [1261, 2, 6, 185], [1262, 1, 4, 88], [1263, 1, 7, 211], [1264, 2, 8, 163], [1266, 1, 4, 47], [1267, 1, 3, 49], [1268, 2, 10, 247], [1274, 1, 9, 183], [1275, 1, 6, 77], [1282, 1, 5, 122], [1291, 1, 14, 197], [1293, 1, 2, 41], [1301, 1, 6, 120], [1316, 2, 7, 169], [1319, 1, 9, 186], [1322, 1, 5, 157], [1329, 1, 6, 111], [1331, 1, 5, 74], [1333, 3, 6, 171], [1335, 1, 9, 151], [1338, 2, 7, 154], [1343, 1, 9, 174], [1349, 1, 8, 152], [1360, 3, 4, 85], [1361, 1, 5, 105], [1362, 1, 4, 106], [1375, 1, 9, 209], [1378, 1, 4, 89], [1383, 1, 8, 151], [1385, 1, 5, 115], [1386, 1, 7, 154], [1390, 1, 4, 117], [1391, 1, 8, 153], [1393, 1, 6, 133]]
determinant:	1	[[1392, 2, 10, 201]]
deton:	2	[[1160, 8, 8, 87], [1269, 3, 3, 58]]
detra:	4	[[283, 1, 5, 144], [554, 1, 7, 116], [555, 1, 7, 124], [983, 1, 3, 80]]
detriment:	2	[[274, 1, 6, 175], [342, 1, 7, 153]]
detud:	1	[[718, 1, 6, 116]]
deuc:	2	[[250, 1, 4, 43], [551, 1, 3, 43]]
deutsch:	1	[[743, 1, 5, 93]]
dev:	1	[[804, 1, 6, 120]]
devel:	1	[[270, 1, 8, 149]]
develop:	265	[[9, 1, 9, 244], [14, 1, 8, 271], [18, 1, 6, 88], [20, 1, 7, 125], [24, 1, 9, 186], [33, 2, 7, 186], [34, 1, 6, 132], [49, 2, 12, 271], [55, 1, 5, 100], [58, 1, 6, 133], [69, 1, 5, 104], [77, 2, 15, 255], [85, 1, 12, 199], [88, 1, 4, 99], [90, 2, 4, 77], [99, 1, 11, 189], [111, 1, 4, 73], [112, 1, 6, 104], [118, 1, 8, 114], [122, 1, 8, 170], [124, 1, 6, 151], [130, 1, 4, 61], [136, 1, 8, 69], [140, 1, 10, 250], [141, 1, 3, 75], [143, 1, 3, 47], [145, 1, 4, 87], [152, 1, 8, 126], [155, 2, 8, 164], [159, 2, 3, 73], [164, 1, 8, 215], [172, 1, 7, 160], [177, 1, 11, 171], [179, 1, 8, 177], [188, 1, 8, 159], [194, 1, 4, 49], [202, 1, 13, 207], [207, 1, 6, 134], [210, 2, 12, 221], [212, 1, 10, 259], [214, 2, 5, 93], [216, 1, 9, 184], [219, 1, 6, 156], [220, 1, 5, 113], [222, 1, 8, 141], [225, 2, 15, 264], [229, 1, 10, 156], [230, 1, 8, 148], [234, 1, 11, 232], [237, 1, 4, 103], [244, 2, 19, 326], [248, 1, 3, 88], [266, 1, 7, 183], [270, 2, 8, 149], [273, 1, 3, 81], [278, 1, 5, 88], [280, 1, 6, 96], [281, 2, 2, 32], [283, 1, 5, 144], [284, 1, 3, 72], [289, 3, 9, 166], [294, 2, 11, 202], [297, 1, 4, 102], [305, 1, 5, 113], [311, 1, 6, 140], [316, 2, 3, 71], [317, 1, 6, 151], [319, 1, 4, 83], [342, 1, 7, 153], [345, 2, 5, 107], [348, 1, 5, 116], [356, 1, 3, 72], [359, 1, 4, 75], [365, 1, 5, 128], [367, 1, 6, 86], [378, 1, 3, 58], [395, 3, 8, 168], [399, 1, 3, 52], [417, 1, 9, 310], [425, 1, 5, 82], [429, 1, 2, 33], [432, 1, 13, 160], [435, 1, 6, 141], [443, 1, 6, 158], [444, 1, 3, 69], [445, 1, 5, 72], [455, 1, 6, 147], [458, 2, 9, 163], [462, 1, 5, 106], [466, 2, 6, 149], [481, 1, 3, 83], [483, 1, 3, 36], [496, 1, 3, 81], [497, 1, 4, 115], [500, 1, 4, 79], [508, 1, 5, 103], [527, 1, 3, 72], [537, 1, 3, 62], [543, 1, 6, 63], [548, 1, 13, 227], [550, 1, 5, 95], [551, 1, 3, 43], [553, 1, 7, 124], [562, 1, 8, 151], [563, 1, 7, 185], [572, 1, 7, 302], [573, 1, 6, 117], [575, 1, 5, 191], [576, 1, 13, 324], [579, 2, 9, 128], [580, 1, 4, 110], [583, 1, 4, 101], [587, 1, 3, 89], [588, 1, 14, 224], [590, 2, 3, 55], [591, 1, 3, 45], [599, 1, 10, 170], [605, 1, 6, 123], [617, 1, 4, 71], [622, 1, 8, 168], [624, 1, 6, 169], [633, 1, 4, 68], [649, 1, 6, 170], [652, 1, 4, 62], [653, 1, 5, 99], [656, 1, 6, 167], [658, 3, 11, 173], [666, 1, 4, 111], [675, 1, 7, 203], [688, 1, 10, 193], [703, 1, 4, 63], [724, 1, 7, 107], [730, 1, 9, 157], [743, 1, 5, 93], [745, 1, 3, 42], [746, 1, 4, 96], [753, 1, 10, 175], [755, 2, 5, 101], [757, 3, 14, 233], [781, 1, 6, 162], [793, 2, 5, 123], [794, 2, 8, 225], [798, 1, 15, 432], [799, 1, 8, 182], [802, 1, 4, 85], [803, 1, 7, 89], [804, 2, 6, 120], [808, 1, 5, 132], [815, 1, 7, 191], [816, 1, 7, 126], [819, 1, 4, 77], [820, 2, 16, 178], [822, 1, 5, 154], [826, 1, 10, 221], [829, 1, 3, 111], [836, 1, 5, 100], [839, 1, 7, 120], [845, 1, 9, 159], [867, 1, 4, 98], [870, 1, 9, 90], [872, 1, 6, 133], [873, 1, 6, 120], [879, 1, 3, 40], [885, 1, 6, 65], [889, 1, 7, 187], [908, 1, 9, 135], [912, 1, 5, 118], [916, 1, 5, 125], [917, 1, 7, 220], [921, 1, 7, 132], [926, 1, 6, 101], [928, 2, 8, 290], [930, 2, 8, 89], [933, 1, 6, 192], [951, 1, 4, 71], [955, 1, 4, 68], [958, 1, 5, 80], [961, 1, 4, 120], [966, 2, 9, 167], [967, 2, 4, 96], [975, 2, 5, 138], [978, 1, 2, 61], [980, 2, 9, 141], [985, 1, 4, 112], [986, 1, 13, 226], [990, 1, 8, 128], [1005, 1, 3, 84], [1015, 1, 7, 97], [1020, 2, 4, 88], [1034, 1, 8, 129], [1035, 1, 12, 178], [1038, 1, 3, 61], [1051, 2, 6, 152], [1053, 2, 5, 117], [1056, 2, 6, 168], [1061, 1, 4, 208], [1065, 1, 4, 110], [1068, 1, 5, 101], [1072, 2, 8, 264], [1078, 1, 8, 108], [1080, 1, 4, 91], [1087, 1, 7, 94], [1101, 1, 3, 84], [1104, 1, 9, 244], [1108, 1, 8, 181], [1119, 1, 9, 208], [1120, 1, 5, 65], [1124, 1, 4, 66], [1125, 1, 6, 119], [1127, 1, 6, 143], [1130, 1, 6, 84], [1135, 1, 4, 88], [1137, 1, 8, 171], [1138, 1, 2, 53], [1140, 1, 2, 43], [1147, 1, 13, 304], [1157, 1, 8, 146], [1159, 1, 6, 96], [1160, 1, 8, 87], [1169, 1, 5, 113], [1174, 1, 4, 60], [1175, 1, 14, 180], [1178, 1, 5, 90], [1182, 2, 8, 143], [1191, 1, 6, 119], [1192, 2, 4, 93], [1220, 3, 6, 154], [1224, 1, 5, 174], [1225, 1, 11, 223], [1239, 1, 19, 289], [1243, 1, 6, 80], [1248, 1, 12, 265], [1254, 1, 3, 87], [1261, 1, 6, 185], [1265, 1, 8, 116], [1266, 1, 4, 47], [1267, 1, 3, 49], [1274, 1, 9, 183], [1278, 2, 6, 139], [1280, 2, 7, 175], [1295, 2, 7, 108], [1297, 1, 3, 103], [1302, 2, 6, 128], [1304, 5, 5, 108], [1319, 1, 9, 186], [1321, 1, 8, 201], [1322, 1, 5, 157], [1328, 1, 8, 161], [1336, 1, 7, 137], [1337, 2, 5, 109], [1339, 1, 5, 159], [1342, 3, 10, 189], [1347, 1, 11, 185], [1353, 1, 4, 93], [1356, 1, 10, 215], [1360, 1, 4, 85], [1361, 1, 5, 105], [1373, 1, 9, 201], [1383, 1, 8, 151], [1384, 3, 4, 114], [1385, 1, 5, 115], [1386, 1, 7, 154], [1387, 2, 6, 150], [1388, 1, 3, 72], [1391, 2, 8, 153]]
deviat:	26	[[15, 1, 5, 92], [58, 2, 6, 133], [122, 1, 8, 170], [168, 1, 6, 165], [236, 1, 6, 116], [363, 1, 7, 178], [443, 1, 6, 158], [575, 3, 5, 191], [583, 2, 4, 101], [616, 1, 4, 96], [656, 4, 6, 167], [686, 1, 7, 173], [846, 1, 9, 162], [928, 3, 8, 290], [1003, 1, 5, 111], [1020, 1, 4, 88], [1024, 1, 7, 128], [1033, 1, 6, 71], [1034, 2, 8, 129], [1035, 1, 12, 178], [1229, 1, 9, 220], [1230, 1, 6, 137], [1261, 2, 6, 185], [1275, 1, 6, 77], [1353, 1, 4, 93], [1354, 1, 5, 116]]
devic:	9	[[11, 1, 4, 77], [99, 1, 11, 189], [202, 1, 13, 207], [549, 1, 4, 55], [968, 1, 8, 121], [969, 1, 4, 64], [1078, 1, 8, 108], [1089, 1, 6, 99], [1166, 1, 11, 161]]
devis:	10	[[35, 1, 3, 108], [121, 1, 5, 95], [149, 1, 10, 190], [314, 1, 7, 134], [677, 1, 7, 199], [698, 1, 7, 107], [845, 1, 9, 159], [893, 1, 5, 80], [929, 1, 5, 111], [1313, 1, 24, 459]]
devot:	9	[[172, 1, 7, 160], [265, 1, 3, 64], [344, 1, 11, 284], [456, 1, 6, 185], [1184, 1, 7, 144], [1201, 1, 19, 364], [1293, 1, 2, 41], [1304, 1, 5, 108], [1377, 1, 3, 77]]
devreas:	1	[[1157, 1, 8, 146]]
dewey:	2	[[540, 1, 7, 137], [978, 1, 2, 61]]
dewpoint:	1	[[1205, 1, 7, 157]]
df:	1	[[1125, 1, 6, 119]]
dg:	10	[[227, 1, 6, 114], [526, 1, 6, 90], [548, 1, 13, 227], [613, 1, 4, 93], [614, 1, 5, 146], [615, 1, 4, 72], [619, 1, 2, 47], [622, 1, 8, 168], [1106, 1, 5, 110], [1363, 1, 6, 122]]
dh:	7	[[234, 1, 11, 232], [609, 1, 2, 56], [689, 1, 11, 192], [690, 1, 4, 82], [730, 1, 9, 157], [1285, 1, 3, 51], [1305, 1, 3, 54]]
diaconi:	1	[[135, 1, 6, 132]]
diagon:	1	[[380, 1, 3, 85]]
diagram:	10	[[129, 1, 11, 176], [143, 1, 3, 47], [216, 1, 9, 184], [333, 1, 4, 56], [595, 1, 9, 154], [732, 1, 6, 128], [929, 1, 5, 111], [945, 1, 4, 75], [1206, 2, 4, 98], [1329, 1, 6, 111]]
diam:	1	[[218, 1, 7, 180]]
diamet:	79	[[25, 1, 8, 280], [76, 1, 7, 142], [82, 1, 11, 226], [127, 1, 5, 97], [140, 1, 10, 250], [173, 3, 12, 220], [174, 2, 13, 210], [176, 2, 8, 77], [177, 2, 11, 171], [197, 1, 12, 206], [210, 1, 12, 221], [218, 1, 7, 180], [219, 1, 6, 156], [234, 2, 11, 232], [239, 1, 9, 121], [282, 2, 10, 182], [317, 1, 6, 151], [354, 2, 5, 95], [432, 1, 13, 160], [508, 1, 5, 103], [519, 3, 9, 127], [529, 8, 8, 198], [536, 1, 8, 215], [555, 1, 7, 124], [558, 2, 6, 90], [564, 1, 10, 195], [567, 1, 6, 126], [646, 1, 7, 193], [662, 1, 9, 251], [689, 1, 11, 192], [690, 1, 4, 82], [692, 2, 8, 151], [693, 2, 7, 134], [696, 1, 11, 216], [697, 2, 11, 131], [707, 1, 7, 160], [721, 1, 15, 373], [773, 1, 8, 224], [815, 1, 7, 191], [816, 1, 7, 126], [828, 1, 9, 151], [844, 3, 6, 152], [846, 1, 9, 162], [905, 1, 5, 70], [912, 2, 5, 118], [942, 1, 7, 99], [946, 7, 13, 249], [947, 1, 11, 229], [964, 3, 4, 106], [965, 1, 5, 60], [973, 1, 5, 85], [976, 5, 14, 321], [993, 3, 10, 166], [999, 1, 15, 171], [1022, 1, 3, 51], [1039, 1, 9, 194], [1040, 1, 14, 364], [1064, 1, 7, 143], [1066, 2, 11, 255], [1069, 1, 2, 49], [1091, 1, 5, 91], [1092, 2, 10, 202], [1094, 1, 6, 119], [1107, 1, 10, 164], [1134, 1, 8, 191], [1136, 1, 5, 126], [1141, 1, 4, 51], [1144, 1, 9, 215], [1156, 1, 10, 138], [1165, 1, 4, 106], [1166, 1, 11, 161], [1191, 1, 6, 119], [1204, 1, 6, 224], [1205, 1, 7, 157], [1209, 2, 8, 181], [1239, 1, 19, 289], [1325, 3, 10, 238], [1340, 1, 6, 79], [1360, 1, 4, 85]]
diamond:	3	[[147, 1, 7, 124], [465, 1, 4, 76], [1239, 1, 19, 289]]
diaphragm:	2	[[1313, 3, 24, 459], [1315, 1, 8, 108]]
diatom:	6	[[110, 1, 9, 242], [168, 1, 6, 165], [193, 1, 15, 298], [541, 2, 6, 141], [975, 2, 5, 138], [1252, 1, 7, 141]]
diaz:	1	[[731, 1, 10, 173]]
dicamillo:	1	[[815, 1, 7, 191]]
dickinson:	1	[[1196, 1, 5, 80]]
dicsov:	1	[[640, 1, 17, 241]]
dictat:	1	[[729, 1, 5, 115]]
did:	17	[[80, 1, 13, 220], [177, 1, 11, 171], [272, 1, 19, 345], [338, 1, 6, 121], [386, 1, 4, 68], [519, 1, 9, 127], [679, 1, 5, 131], [695, 1, 23, 257], [773, 1, 8, 224], [825, 1, 9, 168], [990, 1, 8, 128], [1012, 1, 4, 102], [1148, 1, 3, 73], [1164, 1, 7, 184], [1205, 1, 7, 157], [1229, 1, 9, 220], [1351, 1, 10, 231]]
diederich:	2	[[1332, 1, 5, 97], [1334, 1, 5, 106]]
diego:	1	[[46, 1, 3, 63]]
dielectr:	1	[[447, 1, 6, 82]]
